nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
Cream AV - FJ;01C - Cream Ale (BJCP 2015);1.051;5.48;16.3;4.240361043179085;150;2019-01-30;franquen;https://www.brew-o-matic.com.ar/#/recipe/clone/GrizzlyCream150L31-5b7b1aa7b534de0004606238-1547505843377
Cream Ale;01C - Cream Ale (BJCP 2015);1.049;4.81;15.6;4.784199305458598;50;2018-12-28;Diego Cnokaert;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-5983973f167b371d00897d6a-1510703117372
Cream Ale;01C - Cream Ale (BJCP 2015);1.077;7.57;7.4;5.233919071705912;150;2017-08-11;Raul Andres Lionetti;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-598d9f4e5ad2991d00d485e2-1502455423415
Cream Ale;01C - Cream Ale (BJCP 2015);1.077;7.57;7.4;5.233919071705912;150;2017-08-18;mariano schwabauer;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-59967c1dcc2b121d00741d68-1503034615967
Cream Ale;01C - Cream Ale (BJCP 2015);1.057;5.6;8.5;10.323133216461814;50;2017-10-06;nahuel castagna;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-59d412d881008a1d00f3ddbe-1507161856774
Cream Ale;01C - Cream Ale (BJCP 2015);1.058;5.7;19.2;9.52740305689982;19;2017-05-01;Rodrigo Ronco;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAlecopos-58ab2400bd277a1d0012f90f-1491163023140
Cream Ale;01C - Cream Ale (BJCP 2015);1.056;5.72;15.8;3.8986403479966727;50;2018-10-12;;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-5b6a423470318e0004305023-1539354052857
Cream Ale;01C - Cream Ale (BJCP 2015);1.043;4.62;20.7;5.063213219516811;35;2018-08-29;Meer Cerveza Artesanal;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-58e5a3d9def0661d002b559b-1535515952910
Cream Ale;01C - Cream Ale (BJCP 2015);1.044;4.32;19.2;4.607345872135644;20;2018-09-01;Leandro Regueiro;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-54696754d115c4137e00ec00-1535766153773
Cream Ale;01C - Cream Ale (BJCP 2015);1.048;4.9;16.9;4.073921691376783;22;2017-04-17;Maximiliano Demaria;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-57e18b350116e91d00ce166e-1492467659897
Cream Ale;01C - Cream Ale (BJCP 2015);1.05;4.91;15.5;4.804219723631194;20;2017-08-20;POPEA;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-593b228c7e943a1d00539277-1503190353998
Cream Ale;01C - Cream Ale (BJCP 2015);1.055;5.4;8.6;4.472054260395127;550;2020-11-04;Raul Andres Lionetti;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-598d9f4e5ad2991d00d485e2-1602869634014
Cream Ale;01C - Cream Ale (BJCP 2015);1.087;9.35;8.3;6.285033862499341;40;2021-06-10;Melina Salome Colavini;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-604b71f33cd13c0004c015e3-1623331113934
Cream Ale;01C - Cream Ale (BJCP 2015);1.05;5.11;23.5;4.504880744996752;200;2021-08-05;Leroy Pieroni;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-5ba18c57cd5f790004cf387c-1628162775585
Cream Ale;01C - Cream Ale (BJCP 2015);1.041;4.03;4.1;3.249511815631625;150;2022-10-23;Fulvio Dellara;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-59d116b3b29b4d1d00144357-1666447638779
Cream Ale;01C - Cream Ale (BJCP 2015);1.044;4.78;12.7;4.459997040595384;23;2023-11-10;Gastón;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-58f18e4ff9178d1d0072d399-1697500406846
Cream Ale;01C - Cream Ale (BJCP 2015);1.049;5.01;8.2;4.967960409297905;100;2024-02-04;Geronimo Avila;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-65bececc849d650369f07b5e-1707081192464
Cream Ale;01C - Cream Ale (BJCP 2015);1.055;5.4;23.9;3.948017435484146;20;2025-06-30;andres moreno;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-66060c3f809a271f6d7cfb44-1749609534983
